ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
456957,0.3061368706636175,0.2682978112447087,Kennedy [NY26],Democrat,moderate Democratic follower,24,332,119,197
456935,0.18050130836083525,0.3488287447953859,Lee [PA12],Democrat,progressive Democrat,13,354,61,150
456937,0.2817261075248738,0.4626965094532877,Magaziner,Democrat,rank-and-file Democrat,17,400,174,290
456953,0.22215764550889133,0.420316255095694,McClellan,Democrat,rank-and-file Democrat,19,321,127,259
456886,0.3909788715083008,0.4475805364730072,Pettersen,Democrat,centrist Democrat,18,298,227,300
456900,0.12544477215819957,0.4407904895672282,Ramirez,Democrat,progressive Democrat,18,400,156,405
456934,0.2608366559772753,0.4371330268258985,Salinas,Democrat,rank-and-file Democrat,27,419,168,346
456902,0.42919916766397026,0.20250346175373246,Sorensen,Democrat,centrist Democratic follower,7,254,66,73
456897,0.2510174775228788,0.3722391148445802,Tokuda,Democrat,rank-and-file Democrat,28,502,123,216
456917,0.5897315204898994,0.3452995333229556,Kean,Republican,rank-and-file Republican,19,201,49,64
456924,0.7046937737665585,0.8845177124163225,Lawler,Republican,moderate Republican leader,70,687,350,879
456893,0.41289381561746363,0.26515489077345233,Moskowitz,Democrat,centrist Democratic follower,16,214,68,81
456890,0.1811588958975065,0.47368087654809693,Frost,Democrat,progressive Democrat,13,303,144,185
456899,0.2520190934959891,0.26180777327302296,Jackson [IL1],Democrat,moderate Democratic follower,4,356,66,77
456904,0.2758264550730986,0.3886392399524127,McGarvey,Democrat,rank-and-file Democrat,13,240,61,74
456905,0.2697088607173485,0.48165145441643714,Ivey,Democrat,rank-and-file Democrat,2,168,168,265
456930,0.3097493852519314,0.4764851836370789,Sykes,Democrat,rank-and-file Democrat,30,200,168,288
456910,0.6352442190590265,0.4406514926830255,Burlison,Republican,rank-and-file Republican,18,101,117,211
456880,0.6174519136191671,0.44955174320085467,Ciscomani,Republican,rank-and-file Republican,25,257,122,191
456943,0.6615451588462008,0.5509865012522123,De La Cruz,Republican,rank-and-file Republican,28,129,123,254
456914,0.6798013072561045,0.4603289262493457,Edwards,Republican,rank-and-file Republican,12,172,91,113
456938,0.6737314917766564,0.3203050165346216,Fry,Republican,rank-and-file Republican,16,127,58,79
456951,0.6975633895603272,0.3606165475773189,Hageman,Republican,rank-and-file Republican,42,180,64,92
456903,0.6628562336558435,0.2184912796913038,Houchin,Republican,moderate Republican follower,34,135,54,63
456946,0.6245403280777008,0.23425169932068446,Hunt,Republican,moderate Republican follower,13,119,61,71
456927,0.698490029924292,0.666589905123266,Langworthy,Republican,rank-and-file Republican,33,189,241,478
456891,0.6922447514476582,0.3020097280547253,Luna,Republican,rank-and-file Republican,22,221,20,29
456942,0.5584018146994537,0.42637736923603387,Luttrell,Republican,centrist Republican,19,85,119,187
456894,0.6808213197323557,0.5144760938421729,McCormick,Republican,rank-and-file Republican,10,218,99,127
456940,0.6586672674456903,0.2645226117357573,Moran,Republican,rank-and-file Republican,15,161,31,38
456896,0.543356092254823,0.3606763773068272,Moylan,Republican,centrist Republican,20,188,60,99
456939,0.743877774273375,0.49763072354360294,Ogles,Republican,conservative Republican,35,222,101,175
456941,0.74120182199972,0.3560162537635434,Self,Republican,rank-and-file Republican,34,231,61,74
456950,0.6666653607409989,0.4295531717887638,Van Orden,Republican,rank-and-file Republican,25,226,103,117
456873,0.6968613765364439,0.3264859934375585,Yakym,Republican,rank-and-file Republican,19,213,86,114
456911,0.6495991796028169,0.3095849552607376,Ezell,Republican,rank-and-file Republican,23,148,95,157
412640,0.6331399917093633,0.36096090812390663,Zinke,Republican,rank-and-file Republican,13,125,67,82
456898,0.6065563502109766,0.51531325897609,Nunn,Republican,rank-and-file Republican,47,327,155,304
456909,0.6192919222891486,0.47192216762709327,Alford,Republican,rank-and-file Republican,16,109,103,137
456920,0.6006264757039634,0.45136523180864196,LaLota,Republican,rank-and-file Republican,24,198,129,233
456956,0.5047394826151959,0.23461373549063502,Maloy,Republican,centrist Republican follower ,18,85,41,95
456932,0.3129496152728184,0.24849115487546564,Hoyle,Democrat,moderate Democratic follower,10,208,60,79
456883,0.23785789969092577,0.2327937878886971,Mullin,Democrat,moderate Democratic follower,20,380,69,82
456949,0.5196796875378079,0.31566139542189514,Gluesenkamp Perez,Democrat,centrist Democrat,19,159,76,115
456906,0.38461332082816174,0.3568168324459038,Scholten,Democrat,centrist Democrat,20,249,135,189
456912,0.6277824025222859,0.32731335525217,Davis [NC1],Democrat,centrist Democrat,26,473,95,127
456955,0.28630756406554375,0.3837862165853259,Amo,Democrat,rank-and-file Democrat,14,251,170,294
456928,0.3630395081396986,0.34493193010783524,Landsman,Democrat,centrist Democrat,17,392,95,131
456908,0.21676349530429176,0.35183828163203923,Thanedar,Democrat,rank-and-file Democrat,22,672,105,155
456892,0.6089307799996644,0.37347489680894214,Lee [FL15],Republican,rank-and-file Republican,22,112,124,180
456895,0.6543322413289742,0.5617933595613315,Collins,Republican,rank-and-file Republican,11,183,116,152
456929,0.6214689230511913,0.3047336858116808,Miller [OH7],Republican,rank-and-file Republican,18,179,59,79
456879,0.6830467265930219,0.2643590106087981,Crane,Republican,rank-and-file Republican,21,172,49,92
456907,0.5361057810970626,0.49727761071563253,James,Republican,centrist Republican,19,73,57,79
456888,0.6633963795546581,0.449704807783605,Bean,Republican,rank-and-file Republican,18,129,79,113
456931,0.6684509190550867,0.3434498799863505,Brecheen,Republican,rank-and-file Republican,10,174,61,102
456959,0.5949780138727478,0.05542738093305167,Rulli,Republican,moderate Republican follower,11,227,17,17
456919,0.46226185690209703,0.2219823556809229,Vasquez,Democrat,centrist Democratic follower,25,205,50,76
